address,name,category,website,source,note
0xa160cdab225685da1d56aa342ad8841c3b53f291,Tornado.Cash: 100 ETH,Mixer / Privacy Pool,https://tornado.cash/,Etherscan label,Tracked target; Etherscan labels this as Tornado.Cash: 100 ETH.
0x47ce0c6ed5b0ce3d3a51fdb1c52dc66a7c3c2936,Tornado.Cash: 1 ETH,Mixer / Privacy Pool,https://tornado.cash/,OFAC/Etherscan-listed Tornado Cash pool,Tracked target; known Tornado Cash ETH pool.
0x910cbd523d972eb0a6f4cae4618ad62622b39dbf,Tornado.Cash: 10 ETH,Mixer / Privacy Pool,https://tornado.cash/,OFAC/Etherscan-listed Tornado Cash pool,Tracked target; known Tornado Cash ETH pool.
0x7a250d5630b4cf539739df2c5dacb4c659f2488d,Uniswap V2 Router02,Decentralized Exchange,https://uniswap.org/,Official Uniswap deployments,Official Uniswap V2 mainnet router; appears in uploaded tracking targets.
0x23773e65ed146a459791799d01336db287f25334,Tornado.Cash: DAI Pool,Mixer / Privacy Pool,https://tornado.cash/,OFAC/Etherscan-listed Tornado Cash pool,Tracked target; known Tornado Cash DAI pool.
0x03893a7c7463ae47d46bc7f091665f1893656003,Tornado.Cash: cDAI Pool,Mixer / Privacy Pool,https://tornado.cash/,OFAC/Etherscan-listed Tornado Cash pool,Tracked target; known Tornado Cash cDAI pool.
0x74de5d4fcbf63e00296fd95d33236b9794016631,MetaMask: Swaps Spender,Swap Service Contract,https://metamask.io/swaps/,Etherscan label,Tracked target; Etherscan labels this as MetaMask: Swaps Spender.
0x07687e702b410fa43f4cb4af7fa097918ffd2730,Tornado.Cash: DAI Pool,Mixer / Privacy Pool,https://tornado.cash/,OFAC/Etherscan-listed Tornado Cash pool,Tracked target; known Tornado Cash DAI pool.
0x12d66f87a04a9e220743712ce6d9bb1b5616b8fc,Tornado.Cash: 0.1 ETH,Mixer / Privacy Pool,https://tornado.cash/,OFAC/Etherscan-listed Tornado Cash pool,Tracked target; known Tornado Cash ETH pool.
0x722122df12d4e14e13ac3b6895a86e84145b6967,Tornado.Cash: Proxy,Mixer / Privacy Protocol,https://tornado.cash/,Etherscan label,Tracked target; Etherscan labels this as Tornado.Cash: Proxy.
0x610b717796ad172b316836ac95a2ffad065ceab4,Tornado.Cash: WBTC Pool,Mixer / Privacy Pool,https://tornado.cash/,OFAC/Etherscan-listed Tornado Cash pool,Tracked target; known Tornado Cash WBTC pool.
0x2717c5e28cf931547b621a5dddb772ab6a35b701,Tornado.Cash: cDAI Pool,Mixer / Privacy Pool,https://tornado.cash/,OFAC/Etherscan-listed Tornado Cash pool,Tracked target; known Tornado Cash cDAI pool.
0x0000000000007f150bd6f54c40a34d7c3d5e9f56,MEV Bot: 0x000...f56,MEV Bot,https://etherscan.io/,Etherscan label,Tracked target; Etherscan/beaconcha.in label this as MEV Bot: 0x000...f56.
0xbb93e510bbcd0b7beb5a853875f9ec60275cf498,Tornado.Cash: WBTC Pool,Mixer / Privacy Pool,https://tornado.cash/,OFAC/Etherscan-listed Tornado Cash pool,Tracked target; known Tornado Cash WBTC pool.
0xd21be7248e0197ee08e0c20d4a96debdac3d20af,Tornado.Cash: cDAI Pool,Mixer / Privacy Pool,https://tornado.cash/,OFAC/Etherscan-listed Tornado Cash pool,Tracked target; known Tornado Cash cDAI pool.
0x905b63fff465b9ffbf41dea908ceb12478ec7601,Tornado.Cash: Old Proxy,Mixer / Privacy Protocol,https://tornado.cash/,Etherscan label,Tracked target; Etherscan labels this as Tornado.Cash: Old Proxy.
0x178169b423a011fff22b9e3f3abea13414ddd0f1,Tornado.Cash: WBTC Pool,Mixer / Privacy Pool,https://tornado.cash/,OFAC/Etherscan-listed Tornado Cash pool,Tracked target; known Tornado Cash WBTC pool.
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,Velora/ParaSwap: Augustus Swapper,DEX Aggregator,https://www.velora.xyz/,Etherscan label,Tracked target; Etherscan labels this as Velora v5: Augustus Swapper.
0x28c6c06298d514db089934071355e5743bf21d60,Binance 14,Centralized Exchange,https://www.binance.com/en,Etherscan label,Seed verified exchange address.
0x5c69bee701ef814a2b6a3edd4b1652cb9cc5aa6f,Uniswap V2 Factory,Decentralized Exchange,https://uniswap.org/,Official Uniswap deployments,Official Uniswap V2 mainnet factory.
0x11111112542d85b3ef69ae05771c2dccff4faa26,1inch Aggregation Router V3,DEX Aggregator,https://app.1inch.io/,Etherscan label,Seed verified 1inch router.
0x1111111254fb6c44bac0bed2854e76f90643097d,1inch Aggregation Router V4,DEX Aggregator,https://app.1inch.io/,Etherscan label,Seed verified 1inch router.
0xba12222222228d8ba445958a75a0704d566bf2c8,Balancer V2 Vault,Decentralized Exchange,https://balancer.fi/,Etherscan label,Seed verified Balancer Vault.
0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,Tornado.Cash: Router,Mixer / Privacy Protocol,https://tornado.cash/,Etherscan label,Known Tornado.Cash router.
