blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations,statusRep
10943168,1601190398,0xc5aa8d0ce6c7ff426de2b5c8a3c300b0a846b90292ea229bb529b1330d6c8273,12,0xb78328f327bd7b66c80aa870b628cb18826f6e2726b1c875bb3921c96250d100,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x7afebbb46fdb47ed17b22ed075cde2447694fb9e,0x1c3f856719a91735ccb78506bd504b17907ac814,10000000000000000000000,Ocean Token,OCEAN,18,67,200000,160000000000,103010,4219102,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",14487594,0
10943187,1601190629,0xa4a73eea0fd4299a1c54f7b32e0d0404df03a5123324b18de9ab8be8e9476ea8,0,0xb2d55ced636b7ef699c162140df7857187822b13d792d47dee1947236a667a08,0x1c3f856719a91735ccb78506bd504b17907ac814,0x7afebbb46fdb47ed17b22ed075cde2447694fb9e,0xeab52681bb22684ad1b831b00319dd342ec43554,3000000000000000000000,Ocean Token,OCEAN,18,138,154497,120000000000,102998,10275260,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",14487575,0
10943214,1601191047,0xc4dfddea1ecaa37bbcd3a1d3d12a6f76a63dffd9963d2056b64d443fc2ca0d51,2,0xe411e1afd636de69501e7312dace44a924de668a7b2ba3e04c214335370c8f0f,0x1c3f856719a91735ccb78506bd504b17907ac814,0x7afebbb46fdb47ed17b22ed075cde2447694fb9e,0xeab52681bb22684ad1b831b00319dd342ec43554,7000000000000000000000,Ocean Token,OCEAN,18,264,81597,120000000000,39398,9924612,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",14487548,0
10943215,1601191070,0xf091c5ec966403544af3b27a36a93afa43ba7bf951d6202721a11bf10c08fabe,13,0x0be8d1aaf7656ae10804692dff02f7020e0baaed893cc77bdb51f8eda4c6aa93,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x7afebbb46fdb47ed17b22ed075cde2447694fb9e,0x1c3f856719a91735ccb78506bd504b17907ac814,1999999999999999966445568,Ocean Token,OCEAN,18,44,200000,160000000000,54398,2377346,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",14487547,0
10943290,1601192069,0x6c03a99e9f81f291723be6d174cf29178c369bd78a059918dfc8ed044bfa201a,3,0x8b27df987e6d58111ff4d9380c168bfb57a63867aa0f886afe43cfd03690aaa8,0x1c3f856719a91735ccb78506bd504b17907ac814,0x7afebbb46fdb47ed17b22ed075cde2447694fb9e,0xeab52681bb22684ad1b831b00319dd342ec43554,100000000000000000000000,Ocean Token,OCEAN,18,25,81597,120000000000,54398,2260054,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",14487472,0
10943361,1601192976,0x722a855843fe50e992540a0db0557a92a3f1a8c0fe6c5f43882638b79535bc5d,5,0x4df7b3a4cec125f44973e42a175985d60a90980f8c0e143949064270be57a5a8,0x1c3f856719a91735ccb78506bd504b17907ac814,0x7afebbb46fdb47ed17b22ed075cde2447694fb9e,0x9e9d9fd65edd1f9ad0d7e86d7dcfe6da0de2ae6b,200000000000000000000000,Ocean Token,OCEAN,18,147,154497,66000000000,102998,5978480,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",14487401,0
10944744,1601211145,0x6af6b08ada0f3fc5334bb67ec347e7a020c95859ad9970dde1da22818b88693a,14,0x53ebb476ea1c709127349de2804ac2aa0c789e76ac12b7116422e9be1414f9ae,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0x1c3f856719a91735ccb78506bd504b17907ac814,10000000000000000000000,Synthetix Network Token,SNX,18,7,200000,160000000000,92014,324035,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",14486018,1
10944757,1601211271,0x7d984562416d370172b7dbbb6ac5cf1a8d3e8ab5850b4cd6f3af7331828b0408,7,0xf205cbe202336962a4a24eb2ce5b0ca0b43d5fe1db78afa13fa76348740d8df7,0x1c3f856719a91735ccb78506bd504b17907ac814,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0xaea0926fcb9a83745e9710d6e8ce26c1da7a0ab1,10000000000000000000000,Synthetix Network Token,SNX,18,262,139183,58000000000,77014,6911564,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",14486005,1
10944795,1601211937,0xb07ece7d9c9dddf8f5955d19f005c2ed83af9f23d990df8641a36a2e57c798be,15,0xc5321758c09871ee1eefe4a102c06e8f18f146d922476977338647f6ebabc4be,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0x1c3f856719a91735ccb78506bd504b17907ac814,99999999999999991611392,Synthetix Network Token,SNX,18,26,200000,160000000000,92002,692128,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",14485967,1
10944808,1601212101,0xf8e683d91fa697b50991cc4740d394b9257ccdc8faed5d9025aabc74f8395a68,8,0x1afb66f8ee1a7344f1dd929ce79a30ac7d8d4326f415b30531c91b5b1debb8f9,0x1c3f856719a91735ccb78506bd504b17907ac814,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0xef71dad06266eeaa7b1ef6fd56a65c4cf53bad4a,20000000000000000000000,Synthetix Network Token,SNX,18,120,139183,58000000000,92014,8599776,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",14485954,1
