blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations,statusRep
13721616,1638369182,0xac9e668f48cb934de459ee4adc9bf8ec2ce2829ace6ffb8cf761746a6a8628f5,1,0xe95919e4e1d425c898ef9935e0c1ad6411cab7414b46c91a3ae9f4420719b0af,0xc97f82c80df57c34e84491c0eda050ba924d7429,0x0ace32f6e87ac1457a5385f8eb0208f37263b415,0x26a76f4fe7a21160274d060acb209f515f35429c,14181623758327898,Habitat Token,HBT,10,2,184808,349513581000,160762,405245,deprecated,0xd4d9bdcd,approveHash(bytes32 hashToApprove),11711595,1
13721616,1638369182,0xac9e668f48cb934de459ee4adc9bf8ec2ce2829ace6ffb8cf761746a6a8628f5,1,0xe95919e4e1d425c898ef9935e0c1ad6411cab7414b46c91a3ae9f4420719b0af,0xc97f82c80df57c34e84491c0eda050ba924d7429,0x6b175474e89094c44da98b954eedeac495271d0f,0x26a76f4fe7a21160274d060acb209f515f35429c,114008586193847920419533,Dai Stablecoin,DAI,18,2,184808,349513581000,160762,405245,deprecated,0xd4d9bdcd,approveHash(bytes32 hashToApprove),11711595,1
13721616,1638369182,0xac9e668f48cb934de459ee4adc9bf8ec2ce2829ace6ffb8cf761746a6a8628f5,1,0xe95919e4e1d425c898ef9935e0c1ad6411cab7414b46c91a3ae9f4420719b0af,0xc97f82c80df57c34e84491c0eda050ba924d7429,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x26a76f4fe7a21160274d060acb209f515f35429c,7634453501755451821,Wrapped Ether,WETH,18,2,184808,349513581000,160762,405245,deprecated,0xd4d9bdcd,approveHash(bytes32 hashToApprove),11711595,1
13721616,1638369182,0xac9e668f48cb934de459ee4adc9bf8ec2ce2829ace6ffb8cf761746a6a8628f5,1,0xe95919e4e1d425c898ef9935e0c1ad6411cab7414b46c91a3ae9f4420719b0af,0xc97f82c80df57c34e84491c0eda050ba924d7429,0xa023cca9de8486d867e8b2f7bfd133a96455f850,0x26a76f4fe7a21160274d060acb209f515f35429c,21018139866075697,SushiSwap LP Token,SLP,18,2,184808,349513581000,160762,405245,deprecated,0xd4d9bdcd,approveHash(bytes32 hashToApprove),11711595,0
13721636,1638369515,0xe01d706d668418e3c349c6dfb47b92a4ed17b4c680b974b937e4ffb0cf3b1552,4,0x4bb473ba65c944e2f379222ef6c7e3aad4e344f797e6e6adce9b6c774fc5044d,0x26a76f4fe7a21160274d060acb209f515f35429c,0x0ace32f6e87ac1457a5385f8eb0208f37263b415,0xc7a1cb6edc22e94f17c80eb5b959f2ad28511d4e,4090810000000000,Habitat Token,HBT,10,1,157101,129701156137,112464,197183,deprecated,0x18cbafe5,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",11711575,1
13721650,1638369642,0xa685835be4ae4f5d3a9098305cb5c188d0f6a567c79c977b79a712fde66e86aa,5,0x8e6cc0479dd8ff30e2176647c3a2b0b3a0ff17f4f9f262d1b5b7a683e9f66327,0x26a76f4fe7a21160274d060acb209f515f35429c,0x0ace32f6e87ac1457a5385f8eb0208f37263b415,0xa023cca9de8486d867e8b2f7bfd133a96455f850,4000000000000000,Habitat Token,HBT,10,18,158209,103628932732,113325,491325,deprecated,0x18cbafe5,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",11711561,1
13721652,1638369675,0xf535d56957d08ad883905b87c286510f85e03024970a2c0e3cde417171e67d16,6,0x689242b6dafb6570e577199f0169475357e73b14578873ce7e80eddfbcff9cb1,0x26a76f4fe7a21160274d060acb209f515f35429c,0x0ace32f6e87ac1457a5385f8eb0208f37263b415,0xa023cca9de8486d867e8b2f7bfd133a96455f850,6090813758327898,Habitat Token,HBT,10,1,147844,122294440691,100392,231154,deprecated,0x18cbafe5,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",11711559,1
13721697,1638370360,0xe10d6beacc1cdfa706a65e20480011bde4e5b6c9bbfa86630f0f27068bfd0320,9,0x17a8faa113959b757888190385a63bdb6ccd8b5c32e1e394c24a8d05635e387f,0x26a76f4fe7a21160274d060acb209f515f35429c,0x6b175474e89094c44da98b954eedeac495271d0f,0xc3d03e4f041fd4cd388c549ee2a29a9e5075882f,114008586193847920419533,Dai Stablecoin,DAI,18,8,159184,133724790118,109306,348905,deprecated,0x18cbafe5,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",11711514,1
13721724,1638370718,0xaa1108e1bc4ec4902525cd0a27adaf0cac9d3c79c355fbf88efbfd8eed60e25c,12,0xad5daba19c5a1b9d489be7f552f659433e03187c044cc13cbd8860257fb986ba,0x26a76f4fe7a21160274d060acb209f515f35429c,0xa023cca9de8486d867e8b2f7bfd133a96455f850,0xa023cca9de8486d867e8b2f7bfd133a96455f850,21018139866075697,SushiSwap LP Token,SLP,18,222,199762,114318868148,158464,14355994,deprecated,0xbaa2abde,"removeLiquidity(address tokenA, address tokenB, uint256 liquidity, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)",11711487,0
13721724,1638370718,0xaa1108e1bc4ec4902525cd0a27adaf0cac9d3c79c355fbf88efbfd8eed60e25c,12,0xad5daba19c5a1b9d489be7f552f659433e03187c044cc13cbd8860257fb986ba,0xa023cca9de8486d867e8b2f7bfd133a96455f850,0x0ace32f6e87ac1457a5385f8eb0208f37263b415,0x26a76f4fe7a21160274d060acb209f515f35429c,777824706313863,Habitat Token,HBT,10,222,199762,114318868148,158464,14355994,deprecated,0xbaa2abde,"removeLiquidity(address tokenA, address tokenB, uint256 liquidity, uint256 amountAMin, uint256 amountBMin, address to, uint256 deadline)",11711487,1
