blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations,statusRep
12369760,1620158293,0xa877e18bbdcf69b751f56b4aa5b91a903ae69de2d775f1eb27fba4ba25abff2a,30,0xd4325ee72c39999e778a9908f5fb0803f78e30c441a5f2ce5c65eee0e0eba59d,0x4bd047ca72fa05f0b89ad08fe5ba5ccdc07dffbf,0x6b175474e89094c44da98b954eedeac495271d0f,0x6c6bc977e13df9b0de53b251522280bb72383700,990999470264928008,Dai Stablecoin,DAI,18,82,5766506,51000000000,5175195,8518077,deprecated,0xac9650d8,multicall(bytes[] data),13138280,1
12369760,1620158293,0xa877e18bbdcf69b751f56b4aa5b91a903ae69de2d775f1eb27fba4ba25abff2a,30,0xd4325ee72c39999e778a9908f5fb0803f78e30c441a5f2ce5c65eee0e0eba59d,0x4bd047ca72fa05f0b89ad08fe5ba5ccdc07dffbf,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6c6bc977e13df9b0de53b251522280bb72383700,990903,USDC,USDC,6,82,5766506,51000000000,5175195,8518077,deprecated,0xac9650d8,multicall(bytes[] data),13138280,1
12369823,1620158987,0x2c3274cf2e039fbac8fd3319510533dcca285d02187818111e80e4d497140498,604,0x0973199a5494fa098cee243bc8d4a1b12a26edfedeb50dbd48a378df1c3e8502,0x11e4857bb9993a50c685a79afad4e6f65d518dda,0x6b175474e89094c44da98b954eedeac495271d0f,0x6c6bc977e13df9b0de53b251522280bb72383700,10099999999987498226846,Dai Stablecoin,DAI,18,19,487061,100000000000,439983,1582801,deprecated,0x88316456,mint(tuple params),13138217,1
12369823,1620158987,0x2c3274cf2e039fbac8fd3319510533dcca285d02187818111e80e4d497140498,604,0x0973199a5494fa098cee243bc8d4a1b12a26edfedeb50dbd48a378df1c3e8502,0x11e4857bb9993a50c685a79afad4e6f65d518dda,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6c6bc977e13df9b0de53b251522280bb72383700,10099016801,USDC,USDC,6,19,487061,100000000000,439983,1582801,deprecated,0x88316456,mint(tuple params),13138217,1
12369910,1620159937,0x06e53c0e241686b10a7e3aa5d3af706144a486d291e2036489ed0c4b62f75cdd,610,0x76490faa9116ce42b83a5d3550c89a758211231aad8238e36b05aa2ec278cf58,0x6c6bc977e13df9b0de53b251522280bb72383700,0x6b175474e89094c44da98b954eedeac495271d0f,0x11e4857bb9993a50c685a79afad4e6f65d518dda,5068031851544657337,Dai Stablecoin,DAI,18,4,280676,150000000000,217277,523152,deprecated,0xc04b8d59,exactInput(tuple params),13138130,1
12369910,1620159937,0x06e53c0e241686b10a7e3aa5d3af706144a486d291e2036489ed0c4b62f75cdd,610,0x76490faa9116ce42b83a5d3550c89a758211231aad8238e36b05aa2ec278cf58,0xe592427a0aece92de3edee1f18e0157c05861564,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6c6bc977e13df9b0de53b251522280bb72383700,5070084,USDC,USDC,6,4,280676,150000000000,217277,523152,deprecated,0xc04b8d59,exactInput(tuple params),13138130,1
12369941,1620160334,0x83f0e6c10439fe18108b7431a00fed8aad92d6028441251d85fac254f5c1de28,5,0x966c8cb7a637e7e7c158533d883422c5a099af9426e94b21e98940a2c523a10b,0x6c6bc977e13df9b0de53b251522280bb72383700,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x3b8ccaa89fcd432f1334d35b10ff8547001ce3e5,9994027,USDC,USDC,6,126,239664,46000000000,213280,10443118,deprecated,0xac9650d8,multicall(bytes[] data),13138099,1
12369941,1620160334,0x83f0e6c10439fe18108b7431a00fed8aad92d6028441251d85fac254f5c1de28,5,0x966c8cb7a637e7e7c158533d883422c5a099af9426e94b21e98940a2c523a10b,0x3b8ccaa89fcd432f1334d35b10ff8547001ce3e5,0x6b175474e89094c44da98b954eedeac495271d0f,0x6c6bc977e13df9b0de53b251522280bb72383700,10000000000000000000,Dai Stablecoin,DAI,18,126,239664,46000000000,213280,10443118,deprecated,0xac9650d8,multicall(bytes[] data),13138099,1
12369971,1620160731,0x2d4763faa40fc2d6cdf7f8afeab5448c755ce327908546ce019ded583fab068f,3,0x2a758995fd89a96765a34b1730f364cdeb03b799b2358b8a296816d374d95a38,0x6c6bc977e13df9b0de53b251522280bb72383700,0x6b175474e89094c44da98b954eedeac495271d0f,0xdd0d6c26a03d6f6541471d44179f56d478f50f6b,33452115364624483123,Dai Stablecoin,DAI,18,131,307903,44950000000,237023,11762141,deprecated,0xc04b8d59,exactInput(tuple params),13138069,1
12369971,1620160731,0x2d4763faa40fc2d6cdf7f8afeab5448c755ce327908546ce019ded583fab068f,3,0x2a758995fd89a96765a34b1730f364cdeb03b799b2358b8a296816d374d95a38,0xe592427a0aece92de3edee1f18e0157c05861564,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6c6bc977e13df9b0de53b251522280bb72383700,33465884,USDC,USDC,6,131,307903,44950000000,237023,11762141,deprecated,0xc04b8d59,exactInput(tuple params),13138069,1
