blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,methodId,functionName,confirmations,statusRep
10942621,1601182629,0x5e2986db18d8319e0d5b9cb784d8821956ff695e777041c0b19e7105fb026627,6,0xc9cc3e3704c88e8648d6ac2c58f55a36cafba7d758196b2ed45c069f39414a2c,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0xbd6467a31899590474ce1e84f70594c53d628e46,0x9dc2f9c2d944578420cdc8237cf3264d403355f7,10000000000000000000000,KardiaChain Token,KAI,18,31,100000,100000000000,52157,2506286,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",14454026,0
10943123,1601189695,0xfd68f5c4ea61b0fb9e6e43c7d0900591cb3e3313b8ac13e59def1deaf29f9c37,11,0xd71ae4e341804c896d7c055706c31dd84ae1624d214a6a1667c3edb979645584,0xeb31973e0febf3e3d7058234a5ebbae1ab4b8c23,0x7afebbb46fdb47ed17b22ed075cde2447694fb9e,0x9dc2f9c2d944578420cdc8237cf3264d403355f7,10000000000000000000000,Ocean Token,OCEAN,18,34,200000,160000000000,103010,2651917,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",14453524,0
10943139,1601189984,0xa1d48877b6da88bb49f9a72c30edf4428c137061671ecb2a60a25ebb9ecff3f2,1,0xeae29448fb58ce48c860f00a8b39f488cc161ae4f3e1da04fbce33e20c5ded4d,0x9dc2f9c2d944578420cdc8237cf3264d403355f7,0x7afebbb46fdb47ed17b22ed075cde2447694fb9e,0xf063806d07fe742b031a543145fb46d1bc670fe8,100000000000000000000,Ocean Token,OCEAN,18,126,172716,118000000000,131733,9703844,deprecated,0x18cbafe5,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",14453508,0
10943150,1601190214,0x48f004e0ddbc192f63b1533dc5b2340285a61fe7da7730c8df49617f37277fda,2,0xc163cd0c441b0a588c12289f988ad2b0215674e827c552eb2f1b0159774e1225,0x9dc2f9c2d944578420cdc8237cf3264d403355f7,0x7afebbb46fdb47ed17b22ed075cde2447694fb9e,0xf063806d07fe742b031a543145fb46d1bc670fe8,9900000000000000000000,Ocean Token,OCEAN,18,140,172729,115000001459,116745,8235749,deprecated,0x18cbafe5,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",14453497,0
10944078,1601202423,0x380262dd88b312a1867e642f330125475919c533cdbbcf67c6d02be51e8de92d,4,0x97fba09c79b79260f8e90457204e642fa904c5163e0e89030aebdbc75fb5587d,0x4aac79a9e5e10ba8b033e26769eb3e0fffaafc6c,0x70a72833d6bf7f508c8224ce59ea1ef3d0ea3a38,0x9dc2f9c2d944578420cdc8237cf3264d403355f7,265703860443686024933,UTRUST,UTK,18,176,166409,49000000000,125692,12263811,deprecated,0x7ff36ab5,"swapExactETHForTokens(uint256 amountOutMin, address[] path, address to, uint256 deadline)",14452569,0
10944127,1601203126,0xc7715b4b167b164abd8ab50bc5390b4bc737cdd7b07feb9a901ad534821f606f,6,0x6933f13fc4f367af483fd88afc2ab7bb9bad6fb9e422c4803d3ef203e7dfe0ea,0x9dc2f9c2d944578420cdc8237cf3264d403355f7,0x70a72833d6bf7f508c8224ce59ea1ef3d0ea3a38,0x4aac79a9e5e10ba8b033e26769eb3e0fffaafc6c,265703860443686024933,UTRUST,UTK,18,80,168366,49000000000,112778,11206601,deprecated,0x18cbafe5,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",14452520,0
10945456,1601220716,0x24ef2e91d7b91217af65634bab0aa3c4d99bf0e2fe026accb82ec26f0a4d3b2e,14,0x9dde0b2d81c8a11e6250414c0dbd0a93e094896cb0c31a76d8a65570be5d1ed4,0x1c3f856719a91735ccb78506bd504b17907ac814,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0x9dc2f9c2d944578420cdc8237cf3264d403355f7,80000000000000000000000,Synthetix Network Token,SNX,18,179,139165,81000000000,92002,11288809,deprecated,0xa9059cbb,"transfer(address _to, uint256 _value)",14451191,1
10945475,1601220971,0x4d1fc170de6026b2b983dde7e3664138bb5a508d17d93f1ed60a773a4cf0da60,9,0x0d6729fbf8a5bd25fb1184c9306cd15922342656a90d1226848083480141d3f4,0x9dc2f9c2d944578420cdc8237cf3264d403355f7,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0x43ae24960e5534731fc831386c07755a2dc33d47,100000000000000000000,Synthetix Network Token,SNX,18,31,209270,150000000000,164964,3210492,deprecated,0x18cbafe5,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",14451172,1
10945480,1601221072,0x112359295da1c0819c52d8c4795a6dc2ce62886063fbf77438336eb83f9ad5de,10,0x3b093da382f25c90f22606f66da11f04aa8f3ba080ebe3557a38229d48cdbcdf,0x9dc2f9c2d944578420cdc8237cf3264d403355f7,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0x43ae24960e5534731fc831386c07755a2dc33d47,1000000000000000000000,Synthetix Network Token,SNX,18,0,222488,150000000000,176980,176980,deprecated,0x18cbafe5,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",14451167,1
10945490,1601221175,0x81f6a8f7a7be24b6d323d18dca3d66119e3dd825ba2a076f1a80ddb3ed518811,11,0xf96f90d6a023910d64473f6e744fa28cc7d3ca78caaf99192f830130e041de29,0x9dc2f9c2d944578420cdc8237cf3264d403355f7,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0x43ae24960e5534731fc831386c07755a2dc33d47,1000000000000000000000,Synthetix Network Token,SNX,18,7,209270,150000000000,160764,849267,deprecated,0x18cbafe5,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",14451157,1
10945492,1601221195,0xc2fdd588ac7f5de2751755e577b4ccac82ce8e73e218db2af5b31ec3590ce10b,12,0xed0bb038554ef1287d1015df85173b711a6f20b54912ce54e59d59f69af95b69,0x9dc2f9c2d944578420cdc8237cf3264d403355f7,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0x43ae24960e5534731fc831386c07755a2dc33d47,1000000000000000000000,Synthetix Network Token,SNX,18,17,209270,150000000000,176980,1687618,deprecated,0x18cbafe5,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",14451155,1
10945494,1601221241,0x16b7ec8437b1c0d6272f9bac046350587842df8562c383c3c65c4f471f6ea5ce,13,0x59abc521cd0c2c084601305b30d25e09501bd95eb5bd5c16a7016b312aca7515,0x9dc2f9c2d944578420cdc8237cf3264d403355f7,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0x43ae24960e5534731fc831386c07755a2dc33d47,1000000000000000000000,Synthetix Network Token,SNX,18,9,209270,150000000000,176980,1211685,deprecated,0x18cbafe5,"swapExactTokensForETH(uint256 amountIn, uint256 amountOutMin, address[] path, address to, uint256 deadline)",14451153,1
