source,target,transaction_type,amount,tokenSymbol,contractAddress,hash,timeStamp,label
0x0000000000000000000000000000000000000000,0x3c770607ee15cffef99672722845b0c397130abd,erc20,1002039.94,,0xe6069d0158fddf0fd9b13f8f9fe69829c4b869ed,0x67f623c1a883ca0bd26f6be4fe0dd6309897e58812da683b2d3df835a6f9f823,1449924553,candidate_layering
0x0000000000000000000000000000000000000000,0xc3fca37d2c094140bada90cbe4b0c8b2fb25dedb,erc20,1.0,$pr$,0xf92bb30f072537a83ec4673feeed228b7c66a97c,0x315f519f7af63836e1e6f2610d640bd838491a6d71855239baa861f4f0358b5f,1453697273,candidate_layering
0x0000000000000000000000000000000000000000,0xc9a198512e94341f6080e294548ab75cc135c272,erc20,39.0,Y$,0x3c725341328f07738c471dbf9667ba287bb75b6f,0x21d4bfedecfcf46f0674ec58070f9834db0d6270ef74b7be3e7748c3323f5eec,1454353871,candidate_layering
0x0000000000000000000000000000000000000000,0xc9a198512e94341f6080e294548ab75cc135c272,erc20,10.0,Y$,0x3c725341328f07738c471dbf9667ba287bb75b6f,0xf2e4685ebc572499885a7358a6af07f36b5adb2237854b401181554849240505,1454354231,candidate_layering
0x0000000000000000000000000000000000000000,0xa46fcc88d1e03f79e264ec48bcf05094401a6962,erc20,2000.0,Y$,0x3c725341328f07738c471dbf9667ba287bb75b6f,0xd0c4da7943aa6e69f9264dbe0dcfb924b80b170965973995a0e4f25d067fec69,1454356212,candidate_layering
0x0000000000000000000000000000000000000000,0xf9eb2e9b42e86d3c2d8fb47dcf3d6c65d5258298,erc20,1000000.0,M$,0x194d26307c4ddbcf0dca16e6e36706fcddfb391c,0x5cbfc98c38bab2b638f32e068463179058df9cd97a04a2b506d0cbf68ec21d26,1454885697,candidate_layering
0x0000000000000000000000000000000000000000,0x83985fc6a12fc5a7bbd88aa8d7e0f1bf48105bb5,erc20,1.0,$kwh,0x3cf9b49ae29c1ebfa17053889e58a28af19626c9,0x92fb81f256d2ec9327dcef6819099694afcaada6f4a9f90281ad1a9e08015130,1455136803,candidate_layering
0x0000000000000000000000000000000000000000,0x83985fc6a12fc5a7bbd88aa8d7e0f1bf48105bb5,erc20,1.0,$kwh,0x3cf9b49ae29c1ebfa17053889e58a28af19626c9,0x698cd63bd6eac5482979310a7925bf3d4d30ff13227e254ab5c171161b20d56d,1455464257,candidate_layering
0x0000000000000000000000000000000000000000,0x4e49a9d8d470a8dd4ebd2136f69d98f116d3e71c,erc20,36.0,$wind,0xcb9df5dc2ed5d7d3972f601acfe35cdbe57341e0,0x815003f346681de3c4ad64c71b767eb6171ce85217fdbe37e2fe4029e8776dac,1455465423,candidate_layering
0x0000000000000000000000000000000000000000,0x4e49a9d8d470a8dd4ebd2136f69d98f116d3e71c,erc20,36.0,$wind,0xcb9df5dc2ed5d7d3972f601acfe35cdbe57341e0,0xd6fa2c90ba324b079e42d73b32ab15eeb29a40ae6fd852127f9ff5eed2c1e0ec,1455465740,candidate_layering
0x0000000000000000000000000000000000000000,0xcfb4828e6a30e348d6a96aff2ac037780829da5e,erc20,1000.0,E,0x4214a91774c7c82a079a81a5ef108363db1e2961,0x6783be0d3a0efe44a93b6af603877e14c499e2eb24c6aaf4f7448b115408d9e2,1455585884,candidate_layering
0x0000000000000000000000000000000000000000,0x4e49a9d8d470a8dd4ebd2136f69d98f116d3e71c,erc20,50000.0,,0x30b1f3bf2edea9b256f650d9623f39b351031c57,0xc174dc44f515cc7eb481a689be4b7ff44636341af33cc952103592045d60029d,1456176225,candidate_layering
0x0000000000000000000000000000000000000000,0x1992e866288866e49234f63b486727541bcc0f34,erc20,25.0,BG,0x1992e866288866e49234f63b486727541bcc0f34,0x916829e42cff44fdc03f970a0048a942d7d51d129012fe1b22c6f267eda37dcd,1456323627,candidate_layering
0x0000000000000000000000000000000000000000,0xe9eeaec75883f0e389a78e2260bfac1776df2f1d,erc20,0.016,E,0x875a532348a5de3ab419580bfe22eda95926fa79,0xc656c53ee3e6f7bd938a6848a5b43179c78c8193feb9a35f3a5e8ec49141df98,1456470513,candidate_layering
0x0000000000000000000000000000000000000000,0xe9eeaec75883f0e389a78e2260bfac1776df2f1d,erc20,1.6,E,0x875a532348a5de3ab419580bfe22eda95926fa79,0x212e8fb6d78392fff3be3a8d2f5027a4a4a723639018396ccf32882b22b5b2b7,1456470694,candidate_layering
0x0000000000000000000000000000000000000000,0xe9eeaec75883f0e389a78e2260bfac1776df2f1d,erc20,0.1,E,0x25c6413359059694a7fca8e599ae39ce1c944da2,0xfe912f03438c6947b31dbb2b3157018d3ee31f9662d5adc9c5f3bbe1998f9df1,1456471082,candidate_layering
0x0000000000000000000000000000000000000000,0xe9eeaec75883f0e389a78e2260bfac1776df2f1d,erc20,5.0,E,0x25c6413359059694a7fca8e599ae39ce1c944da2,0x67390e13609ce8ba126595d121d4fffdccf8e11e922f7c29fce3796148a24dec,1456471199,candidate_layering
0x0000000000000000000000000000000000000000,0x8f7d293cd13697835e640d8a493671b3313e2853,erc20,49.99,$,0xb08708e9b7016ba148fc038debe07a75c5ef877c,0x9f86d47a743e0a698abef99debdf94ab58bd256fe17c653cb61f67bb96767d8f,1456568168,candidate_layering
0x0000000000000000000000000000000000000000,0xa46fcc88d1e03f79e264ec48bcf05094401a6962,erc20,1.0,,0xd4557aa78a390cadbfe74f3ecfc5ca9b483de5ff,0x288bc53562157fc02cc13a651ddaf1a33b8e1af04e43a7f09c8e67121811dba5,1456944366,candidate_layering
0x0000000000000000000000000000000000000000,0x83985fc6a12fc5a7bbd88aa8d7e0f1bf48105bb5,erc20,1.0,,0xd4557aa78a390cadbfe74f3ecfc5ca9b483de5ff,0x30d856df1c0689b00c2795f80ee9ca5a907c3667475fea144484f81b83b27bbb,1456951443,candidate_layering
0x0000000000000000000000000000000000000000,0xa46fcc88d1e03f79e264ec48bcf05094401a6962,erc20,1.0,,0xd4557aa78a390cadbfe74f3ecfc5ca9b483de5ff,0x1518d12ec8032b1639d5efc40cf281ad7dcb60f6443c74d8e1972554d079301d,1456995019,candidate_layering
0x0000000000000000000000000000000000000000,0x83985fc6a12fc5a7bbd88aa8d7e0f1bf48105bb5,erc20,1.0,,0xd4557aa78a390cadbfe74f3ecfc5ca9b483de5ff,0x1518d12ec8032b1639d5efc40cf281ad7dcb60f6443c74d8e1972554d079301d,1456995019,candidate_layering
0x0000000000000000000000000000000000000000,0x4e49a9d8d470a8dd4ebd2136f69d98f116d3e71c,erc20,1.0,,0xd4557aa78a390cadbfe74f3ecfc5ca9b483de5ff,0x1518d12ec8032b1639d5efc40cf281ad7dcb60f6443c74d8e1972554d079301d,1456995019,candidate_layering
0x0000000000000000000000000000000000000000,0x83985fc6a12fc5a7bbd88aa8d7e0f1bf48105bb5,erc20,1.0,,0xd4557aa78a390cadbfe74f3ecfc5ca9b483de5ff,0x613756cbd1134045ba7a6f73758ef34a284255c307c2958579924c5d9f6701e6,1456995193,candidate_layering
0x0000000000000000000000000000000000000000,0x4e49a9d8d470a8dd4ebd2136f69d98f116d3e71c,erc20,1.0,,0x3fadde945304a36cc2950c3674dc933141a0412b,0x8461e9b869a0fca73f50d29103365b6aab553309357d5427a6847fbd3e0ef53b,1457116374,candidate_layering
0x0000000000000000000000000000000000000000,0x4e49a9d8d470a8dd4ebd2136f69d98f116d3e71c,erc20,1.0,,0x3fadde945304a36cc2950c3674dc933141a0412b,0x9163f2af9905598aab29090515ab9c5bb716be4a5d7e2748c46c736ef0454b34,1457120051,candidate_layering
0x0000000000000000000000000000000000000000,0x00d70c8cea258ada872b3a615c4b775bc748dab7,erc20,5.0,,0x5f6ea4a9fc88259d0991d20576aa24bfb6be177f,0x421b5703d1f137a32f7198a02f50a4bd0af56ea50453e5ad2477fa9a2b3901d8,1457260288,candidate_layering
0x0000000000000000000000000000000000000000,0x7ec1f6e0577dd90bcdb65c977a979a8849fcaf25,erc20,99.0,,0x5f6ea4a9fc88259d0991d20576aa24bfb6be177f,0x757b7c89d6e065e8db9f85008cacac733dfaabc894463598e0b607d44a16c024,1457261263,candidate_layering
0x0000000000000000000000000000000000000000,0xe9eeaec75883f0e389a78e2260bfac1776df2f1d,erc20,0.1,E,0x4960b83719cbd574d131798402b837957b9dc1e3,0xef3d860c8f5f3a64cbbb83b80c1a1620640ac60dc7d3606b1d2be78b71cde062,1457417689,candidate_layering
0x0000000000000000000000000000000000000000,0xe9eeaec75883f0e389a78e2260bfac1776df2f1d,erc20,0.1,E,0x4960b83719cbd574d131798402b837957b9dc1e3,0xd6570996718e0572e9eee21e1fdf55f052355f7388cdc1a74b82be6b9c6edccc,1457417978,candidate_layering
