source,target,transaction_type,amount,hash,timeStamp,label,tokenSymbol,contractAddress
0x5b3256965e7c3cf26e11fcaf296dfc8807c01073,0x1f4b10ffb832581ae5a975ed38eeac9f4e960bdf,normal_eth,0.17,0x0c97d5747ba2c2e0e24e8309791ff6bd6d43b8585593c8836ab6d0ef35cbdf49,1539348857,candidate_layering,,
0x5b3256965e7c3cf26e11fcaf296dfc8807c01073,0xc55532510f09b754168c9b978d60aecac82e6da7,normal_eth,0.12,0x0b75d1d2019f7d78c6a99366a8f7df0880db10748307d81448732fb84eae796f,1539352675,candidate_layering,,
0x5b3256965e7c3cf26e11fcaf296dfc8807c01073,0xdbb59151b18dd72e9ac092706e93de5b5d7a9325,normal_eth,2.0,0x57978514bf156f385d504a9a01d854585d29ab6839cb89dba56438c68de9071b,1542819599,candidate_layering,,
0x5b3256965e7c3cf26e11fcaf296dfc8807c01073,0xe7af11370c3bab51230d8307454350bdf6d68f4a,normal_eth,1.44925,0xc099564b8e7d9ded62c63fc6a4f63657478efa4feb9fc85267c9579e7d12c25c,1544543353,candidate_layering,,
0x5b3256965e7c3cf26e11fcaf296dfc8807c01073,0x8b51c1ba09ee33e7649cac62ccb6d0f410f5647a,normal_eth,1.0,0xb5082c09748077b3ab76eb689c6713d25a90f1c7ee8aa4d21c05e0bdd0c467af,1544763520,candidate_layering,,
0x5b3256965e7c3cf26e11fcaf296dfc8807c01073,0x2b784e9f231cd229ecfc304315cb0b8365487827,normal_eth,0.0175,0x9d1649ab88214d7750a2759901248330e7a41a7c5cf9b88a064be26bd1f66742,1545088498,candidate_layering,,
0x5b3256965e7c3cf26e11fcaf296dfc8807c01073,0x9012c8b9fccd553ae3fbdc25719af965669dad87,normal_eth,0.0431,0xbd5ffadc2d46c03f1d27bf841d9e5506eacab4abb42e4ad0a5709974f20b751d,1545321332,candidate_layering,,
0x5b3256965e7c3cf26e11fcaf296dfc8807c01073,0xb5db6cb03cedec9d03b41d0d55ce5ad55c92732d,normal_eth,0.019,0x476238cdddcf9483ccebe7973db17f7e1c2b019697ec73fe0758028870420637,1545522353,candidate_layering,,
0x5b3256965e7c3cf26e11fcaf296dfc8807c01073,0x9e6033fb9bc60653266d35275e764a0b1e0dca4b,normal_eth,0.02,0xce8ebbe07a09f1da3d40431b101ae3b2f4d86d5093ea8186aa5612556cd547e5,1545522446,candidate_layering,,
0x5b3256965e7c3cf26e11fcaf296dfc8807c01073,0xf2b31e5768871b3ad8435edb2c54b8683a3d1a5e,normal_eth,0.12,0x39f90e33279afc7f91cf1141e09d6466cb9198bf41b856e07c2ee21119482d16,1545522760,candidate_layering,,
