source,target,transaction_type,amount,hash,timeStamp,label,tokenSymbol,contractAddress
0x9eee6862b78fb6f9627d7d5a908d2114814fcecd,0x986a2fca9eda0e06fbf7839b89bfc006ee2a23dd,normal_eth,0.1,0x7d5b2a272359d525873988c0a76ce81b16a91678109ceb918c739bd929e14f41,1639367912,candidate_layering,,
0x9eee6862b78fb6f9627d7d5a908d2114814fcecd,0x986a2fca9eda0e06fbf7839b89bfc006ee2a23dd,normal_eth,0.05,0x8873be5da29ddab765db7a5c171e00f888f36c47a2af09709922a3d07e1c319d,1639368263,candidate_layering,,
0x9eee6862b78fb6f9627d7d5a908d2114814fcecd,0x986a2fca9eda0e06fbf7839b89bfc006ee2a23dd,normal_eth,0.05,0x1cb23fa72743a24acfaaf5431053858ced3760c5fa8de83a673069b41f9be4f7,1639370369,candidate_layering,,
0x9eee6862b78fb6f9627d7d5a908d2114814fcecd,0x5629d0f06a984dab5f062aa8bb0eab75b94e7bf6,normal_eth,1500.0,0xb94f6ebc0c46e4735ce08d83fa8d2c6e981f235ca8eb00b617fca332ffcbf2c9,1639375521,candidate_layering,,
0x9eee6862b78fb6f9627d7d5a908d2114814fcecd,0x70dcf33ca09bd87bb2a301280331406ebd32c8a0,normal_eth,62.48128599557551,0x83f742059310da8c8ebdc3c439c8f0a076132b9ccce87b09d76821c25351991f,1639376319,candidate_layering,,
0x9eee6862b78fb6f9627d7d5a908d2114814fcecd,0x756b4cd1f83684f78c6470d4071026509789946c,normal_eth,0.2,0x51bbbecbad81d7e4ca673ab74baea47ee5876880af4e89c56ea6e1afd3ff33a3,1639432830,candidate_layering,,
0x9eee6862b78fb6f9627d7d5a908d2114814fcecd,0x5629d0f06a984dab5f062aa8bb0eab75b94e7bf6,normal_eth,400.0,0x83f4e830ac9526f9bfd6466bd7abe5503890b3138d6378ca8fb09d9e69c9e534,1639438837,candidate_layering,,
0x9eee6862b78fb6f9627d7d5a908d2114814fcecd,0x986a2fca9eda0e06fbf7839b89bfc006ee2a23dd,normal_eth,0.3,0x3af5053b9083c5516b809f6780e32a7c1cf7c461bf17010090950698683a2a12,1639683024,candidate_layering,,
0x9eee6862b78fb6f9627d7d5a908d2114814fcecd,0x1d8224b798e29f98379ab429aa716cdfe320c784,normal_eth,0.12,0xb2187ae418f1f0222f47dca9747c75ded14aa6bd45a979cbbf62d3cc87e80d9e,1649737657,candidate_layering,,
0x9eee6862b78fb6f9627d7d5a908d2114814fcecd,0x12b0f3843ba5d19cd3aa91fe1cb72605fa1d3925,normal_eth,0.15,0x3f04440028b87ef627ce589dd944469fb339c1c98a2a3c1b181987a5444bec59,1649757083,candidate_layering,,
