source,target,transaction_type,amount,hash,timeStamp,label,tokenSymbol,contractAddress,source_layer,source_clean,target_clean,is_service_provider,service_matched_side,service_provider_name,service_provider_category,service_provider_source,service_provider_note
0x9fc53c75046900d1f58209f50f534852ae9f912a,0x439c0da3061ef171090e8a723f930bb14bea509c,normal_eth,4.5,0x7d2ede91bcb8ddd2abb379ee3c6cf89fbc33d03f47c1515b5294ff0252565b75,1635606152,candidate_layering,,,0,0x9fc53c75046900d1f58209f50f534852ae9f912a,0x439c0da3061ef171090e8a723f930bb14bea509c,False,none,,,,
0x9fc53c75046900d1f58209f50f534852ae9f912a,0x439c0da3061ef171090e8a723f930bb14bea509c,normal_eth,0.2787114160624112,0x49951cbf6ecc016ef9c540b406d4c685b18ca8791eb674ce459655d902913c46,1635608896,candidate_layering,,,0,0x9fc53c75046900d1f58209f50f534852ae9f912a,0x439c0da3061ef171090e8a723f930bb14bea509c,False,none,,,,
0x9fc53c75046900d1f58209f50f534852ae9f912a,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,normal_eth,0.0104298764766721,0xae777bbd2a671d3d0d0a2892697f7abb0ea650ad0910c48265b8ff31ca328e7f,1635651427,candidate_layering,,,0,0x9fc53c75046900d1f58209f50f534852ae9f912a,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,False,none,,,,
0x9fc53c75046900d1f58209f50f534852ae9f912a,0xb1302743acf31f567e9020810523f5030942e211,erc20,13597.269715633476,0x002724097966061607100ad99dcb991971b864ad6efa75e4f46145d6d1c904b4,1635513748,candidate_layering,WETH,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,0x9fc53c75046900d1f58209f50f534852ae9f912a,0xb1302743acf31f567e9020810523f5030942e211,False,none,,,,
0x9fc53c75046900d1f58209f50f534852ae9f912a,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,erc20,6832724184.8454685,0xf5ca72e03d5f7a63b51cfc6f1314c279dcba52d87ded6d9065f9f95fa9464728,1635614133,candidate_layering,Meta,0xa0f65d903f62c1e9867d9368eef000293fc0a82e,0,0x9fc53c75046900d1f58209f50f534852ae9f912a,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,False,none,,,,
0x9fc53c75046900d1f58209f50f534852ae9f912a,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,erc20,9242990925995.33,0xf280b6546f64e174ce86fbca8d986321341dae3ca1466ac22eb56872eb73dc9f,1635614258,candidate_layering,$T1mes,0x1811591c776ab78e0718534a6a3e79842f595eb2,0,0x9fc53c75046900d1f58209f50f534852ae9f912a,0x3069388b2c7e45a53ebb32c31bc3817304401d9e,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x149915f1fd17fe5899adac2542be90690ed8a526,normal_eth,0.06,0xa3310d9a1cd3794c414f9eeb0d1f69d445015050e6aa0de1aa31941656ee005c,1628787962,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x149915f1fd17fe5899adac2542be90690ed8a526,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x149915f1fd17fe5899adac2542be90690ed8a526,normal_eth,0.12,0xc391c26cfc855a87a4267507941203632569229723d5e3b5dd82a877ffa943e0,1628787962,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x149915f1fd17fe5899adac2542be90690ed8a526,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0xc84cf3277549845d6a6ba7e761d2fdfa56663546,normal_eth,0.1634,0xb70e8f6766f5b3bd757d60f301fe815368334c4d58a7a6540ec1f4937874c650,1628802861,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0xc84cf3277549845d6a6ba7e761d2fdfa56663546,False,none,,,,
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x0e4245ccb9954ead73f8bab13607cd2d86efc84c,normal_eth,0.06,0x99b4d6e06fb77e28c571fae541cc62ff29a27560d40ba7b1d66625096f749f62,1628816566,candidate_layering,,,1,0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,0x0e4245ccb9954ead73f8bab13607cd2d86efc84c,False,none,,,,
