address,layer,role
0x9fc53c75046900d1f58209f50f534852ae9f912a,0,placement
0x439c0da3061ef171090e8a723f930bb14bea509c,1,candidate_layering
0x551a4fe9388ff34a4f9b289e092ea3ed3d201b3e,1,candidate_layering
0xb1302743acf31f567e9020810523f5030942e211,1,candidate_layering
0x149915f1fd17fe5899adac2542be90690ed8a526,2,candidate_layering
0xc84cf3277549845d6a6ba7e761d2fdfa56663546,2,candidate_layering
0x0e4245ccb9954ead73f8bab13607cd2d86efc84c,2,candidate_layering
0xee261291f38538b7d75b0b42dd16cdc05620548d,3,candidate_layering
0x0392b64b8bfda184f0a72ce37d73dc7df978c4f7,3,candidate_layering
0xa25d6e6e02d1fd7a886b83a906c91cde7ed8ddfc,3,candidate_layering
