address,layer,role
0xb1302743acf31f567e9020810523f5030942e211,0,placement
0x07002d0212e3d40a6e17773460579d694100b7f4,1,candidate_layering
0x0d195363672247fa0f2184f84617fd2108bb2bbb,1,candidate_layering
0x59fde87a413e9b1c06f35653bf08b7b0f88201ed,1,candidate_layering
0x2166b5026ad3b5416191f376f8d41743362cd91e,1,candidate_layering
0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,2,candidate_layering
0xe77b0377b498a2e485dc8043b9ccc8254f972195,2,candidate_layering
0x47ce0c6ed5b0ce3d3a51fdb1c52dc66a7c3c2936,3,candidate_layering
0x12d66f87a04a9e220743712ce6d9bb1b5616b8fc,3,candidate_layering
0x23773e65ed146a459791799d01336db287f25334,3,candidate_layering
0xa160cdab225685da1d56aa342ad8841c3b53f291,3,candidate_layering
