address,layer,role
0xe47e8cd58c8e95f765e642d7dcb898f622cefa83,0,placement
0x08dd16de9afbc4368d8efdc66fc41b8dbc5eadb1,1,candidate_layering
0xb09e66b66b7daa35699496ff560e1034990e5e3a,1,candidate_layering
0x5b3256965e7c3cf26e11fcaf296dfc8807c01073,1,candidate_layering
0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,2,candidate_layering
0xca0840578f57fe71599d29375e16783424023357,2,candidate_layering
0x1f4b10ffb832581ae5a975ed38eeac9f4e960bdf,2,candidate_layering
0x47ce0c6ed5b0ce3d3a51fdb1c52dc66a7c3c2936,3,candidate_layering
0x12d66f87a04a9e220743712ce6d9bb1b5616b8fc,3,candidate_layering
0x23773e65ed146a459791799d01336db287f25334,3,candidate_layering
